feature,importance
exit_count,37.27437874735275
entry_count,31.545720916917798
platform_congestion_flag,23.107509397019534
afc_smart_card_taps,4.419152771474652
transfer_count,0.7087408994670674
qr_ticket_taps,0.5821982623504145
platform_capacity,0.34121396217274863
concourse_area_sqm,0.3076698452296214
max_safe_occupancy,0.26943115770284204
token_sales_count,0.18310835343436804
day_of_week,0.14579052196567147
time_slot,0.14115888437915114
current_train_frequency,0.06560838030448174
avg_dwell_time,0.065204646494416
rainfall_mm,0.06279581264297958
aqi_index,0.06079873794629682
peak_period,0.05190451006561211
station_tier,0.05044852066375293
temperature,0.044772641132216864
num_ticket_counters,0.04101029232416893
train_load_factor,0.038883625649568876
queue_length_at_gate,0.03784760005075661
city,0.037315127660135575
hour,0.031415778163477376
poi_category,0.02777804558556775
train_capacity,0.026493153584467896
station_name,0.025824172990160307
day,0.025674817574870012
nearby_poi_count,0.022150981188054045
num_afc_gates,0.020986752410178715
historical_std_dev,0.0199923276436896
metro_line_id,0.018003137844522447
event_distance_km,0.015874663066942976
historical_avg_footfall,0.015631850725910054
weather_condition,0.014855730888647306
connecting_transport_modes,0.013623952285581933
station_type,0.0135794999311787
train_arrivals_in_slot,0.013301315946264887
num_entry_exit_gates,0.0121136848242957
num_escalators,0.011869373593568296
day_of_week_number,0.011799014571372628
num_lifts,0.011022509061462224
direction,0.010341614134282756
historical_peak_footfall,0.009237847522734825
train_headway_minutes,0.008971293914918806
event_type,0.008449097568828346
office_hours_flag,0.008306906270097591
num_platforms,0.006234520627682298
school_college_session_flag,0.005807324076013681
expected_event_attendance,0.004380671504319791
line_name,0.0015993685393842258
festival_name,0.0013675072678328585
is_festival,0.0005055607106503977
platform_id,0.00011268277028306974
station_id,3.122881165224711e-05
interchange_flag,0.0
is_weekend,0.0
holiday_type,0.0
is_holiday,0.0
special_event_flag,0.0
strike_or_disruption_flag,0.0
service_alert_active,0.0
