feature,importance
exit_count,36.7247178904299
entry_count,31.753627702676003
platform_congestion_flag,22.092828670264122
afc_smart_card_taps,4.43153716660919
transfer_count,1.1653314427945958
qr_ticket_taps,0.630303952787772
max_safe_occupancy,0.39874318527798636
platform_capacity,0.32681857188915064
concourse_area_sqm,0.28091567477137724
token_sales_count,0.2368085348273455
time_slot,0.18147446577519583
day_of_week,0.15528743190856065
avg_dwell_time,0.12051727146632754
current_train_frequency,0.0995307577990961
rainfall_mm,0.09919243748903606
aqi_index,0.09841443777549314
temperature,0.09292806824267093
station_tier,0.08748929547084457
num_ticket_counters,0.08108386790026985
queue_length_at_gate,0.07024621419514517
hour,0.05866336455082611
station_type,0.05376207894305317
poi_category,0.05329968473315722
train_capacity,0.048576172328760416
peak_period,0.04524760871889045
day_of_week_number,0.04359779897829626
num_entry_exit_gates,0.039835860562721544
day,0.03766820460796373
nearby_poi_count,0.036725861788555185
city,0.036069879512029536
num_afc_gates,0.034450101749340524
train_load_factor,0.030001860511085495
num_escalators,0.02961133210977178
office_hours_flag,0.025045942829394294
metro_line_id,0.02432429494531705
train_arrivals_in_slot,0.02320933649191092
line_name,0.023115580163622244
historical_std_dev,0.02273189316845477
train_headway_minutes,0.022599884791152044
station_name,0.021851677218338937
connecting_transport_modes,0.021358844772067686
direction,0.020423967858741423
weather_condition,0.01373333894695405
num_platforms,0.013075112753271587
event_distance_km,0.013029268073396173
platform_id,0.012590930032363846
school_college_session_flag,0.012104340561350428
num_lifts,0.011926075236379636
historical_avg_footfall,0.009583396763147177
historical_peak_footfall,0.008586777711253372
event_type,0.006719202922477424
expected_event_attendance,0.0055923997731971075
holiday_type,0.0032030848475837264
is_weekend,0.003180903873380698
is_festival,0.0025348586557505685
is_holiday,0.0018310483399167868
interchange_flag,0.0017246796883482799
special_event_flag,0.0006163101377710521
station_id,0.0
festival_name,0.0
strike_or_disruption_flag,0.0
service_alert_active,0.0
